concept,pearson_r,pearson_p,pearson_significant,spearman_r,spearman_p,spearman_significant,mean_similarity,std_similarity,mean_error_km,mean_neg_log_error,n_samples
urban city,0.3887486487470986,1.038340956279e-108,True,0.382418883766001,5.655729249505991e-105,True,-0.018391909608925457,0.04449440738456018,1769.422094269483,-4.894323917957013,2997
rural countryside,0.03052745968816021,0.09473870000696888,False,0.059990533906660204,0.0010170656228447109,True,0.009171118759000124,0.03470510033401095,1769.422094269483,-4.894323917957013,2997
coastline,0.08070789459967505,9.701702658232969e-06,True,0.10514700329640476,7.933889029099725e-09,True,5.8288854426681196e-05,0.04227745911327438,1769.422094269483,-4.894323917957013,2997
mountain landscape,0.05368237280709135,0.003285005635074511,True,0.08619938369563315,2.2920804301603522e-06,True,0.00399910596701081,0.04023758609055201,1769.422094269483,-4.894323917957013,2997
desert landscape,0.03728926013711693,0.04122561400961665,True,0.05838977488956465,0.0013841535237859937,True,-0.011373230854873613,0.03390009533607363,1769.422094269483,-4.894323917957013,2997
snowy landscape,0.09017620480975971,7.626080412298959e-07,True,0.12676001431211753,3.2916271394918894e-12,True,-0.0013343468684009106,0.03513537403086429,1769.422094269483,-4.894323917957013,2997
tropical forest,-0.09095884257019883,6.107263455701185e-07,True,-0.08072502231988174,9.659473437112119e-06,True,-0.022892610925602807,0.03660639235889846,1769.422094269483,-4.894323917957013,2997
vegetation,-0.035749729793985045,0.05035650747937171,False,-0.013939451912811141,0.4455635357454293,False,0.015747193359714563,0.03646234028297957,1769.422094269483,-4.894323917957013,2997
palm trees,0.09993382955886344,4.198086034562379e-08,True,0.1048690870116826,8.68874506261435e-09,True,-0.0059194563824299575,0.02931685556759121,1769.422094269483,-4.894323917957013,2997
pine forest,-0.002649559465704599,0.8847191506715438,False,0.00635336898743407,0.7280859814739259,False,-0.0182406576843431,0.0345238421900355,1769.422094269483,-4.894323917957013,2997
waterfront,0.22582423664879736,5.8313839720003103e-36,True,0.23343551582835217,2.2470451294137213e-38,True,0.005736547332154251,0.043991064168598056,1769.422094269483,-4.894323917957013,2997
blue sky,0.10674564905301065,4.682433408277213e-09,True,0.13298092809177892,2.681983079929202e-13,True,0.00040610143988476606,0.0370169058116057,1769.422094269483,-4.894323917957013,2997
road,0.19834898722339533,5.746094636876073e-28,True,0.2165262986970173,3.9474798771878635e-33,True,0.0030022604186815006,0.03539652087870562,1769.422094269483,-4.894323917957013,2997
bridge,0.2893249342099494,7.012191927665438e-59,True,0.28829812445123554,1.8544730785740652e-58,True,0.009924853659489525,0.03142315994386787,1769.422094269483,-4.894323917957013,2997
skyscrapers,0.36664780098415944,5.1063195460747164e-96,True,0.36833181542748994,5.963332007188608e-97,True,-0.0012115141369317263,0.03371634600612462,1769.422094269483,-4.894323917957013,2997
residential houses,0.2698905644090111,3.501005674862758e-51,True,0.2854980128177666,2.576755710023644e-57,True,-0.010234877650542606,0.03704139835834207,1769.422094269483,-4.894323917957013,2997
Gothic cathedral,0.3954916056183734,8.806690195462214e-113,True,0.40628837352086866,1.678518530484068e-119,True,-0.026130774426229526,0.04242321918939689,1769.422094269483,-4.894323917957013,2997
Islamic architecture,0.38989376800694253,2.14580386174347e-109,True,0.39836711647935114,1.5115671875210072e-114,True,-0.007557702326645767,0.04239419301243034,1769.422094269483,-4.894323917957013,2997
Buddhist pagoda,0.21092416533371539,1.7356638381252216e-31,True,0.22029841332814848,2.908096098948917e-34,True,0.0002548629410295245,0.036933597501158495,1769.422094269483,-4.894323917957013,2997
Japanese traditional architecture,0.27578348293541655,1.8853055842845593e-53,True,0.2876472733209815,3.42790314542536e-58,True,-0.030704010819119183,0.03866343620236449,1769.422094269483,-4.894323917957013,2997
Mediterranean buildings,0.3472887712613123,1.0818608524404994e-85,True,0.34883179220093247,1.7274117823622537e-86,True,-0.014275622192758124,0.04703767821805232,1769.422094269483,-4.894323917957013,2997
